VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,External renewable water resources,Surface water: accounted inflow,Indonesia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Iran (Islamic Republic of),2020,9.335,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Iraq,2020,54.58,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Ireland,2020,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Israel,2020,0.305,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Italy,2020,8.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Jamaica,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Japan,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Jordan,2020,0.165,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Kazakhstan,2020,44.06,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Kenya,2020,10,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Kiribati,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Kuwait,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Kyrgyzstan,2020,0.558,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Lao People's Democratic Republic,2020,143.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Latvia,2020,18,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Lebanon,2020,0.038,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Lesotho,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Liberia,2020,32,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Libya,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Lithuania,2020,9.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Luxembourg,2020,2.5,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Madagascar,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Malawi,2020,1.14,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Malaysia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Maldives,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Mali,2020,60,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Malta,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Marshall Islands,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Mauritania,2020,11,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Mauritius,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Mexico,2020,53.32,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Micronesia (Federated States of),2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Mongolia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Morocco,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Mozambique,2020,116.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Myanmar,2020,165,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Namibia,2020,33.75,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Nauru,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Nepal,2020,12,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Netherlands (Kingdom of the),2020,80,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,New Zealand,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Nicaragua,2020,8.31,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Niger,2020,30.55,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Nigeria,2020,65.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Niue,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,North Macedonia,2020,1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Norway,2020,11,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Oman,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Pakistan,2020,191.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Palau,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Palestine,2020,0.015,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Panama,2020,2.704,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Papua New Guinea,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Paraguay,2020,270.77,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Peru,2020,238.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Philippines,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Poland,2020,6.9,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Portugal,2020,39.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Puerto Rico,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Qatar,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Republic of Korea,2020,4.85,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Republic of Moldova,2020,10.65,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Romania,2020,169.55,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Russian Federation,2020,213.445,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Rwanda,2020,3.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Saint Kitts and Nevis,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Saint Lucia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Saint Vincent and the Grenadines,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Samoa,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Sao Tome and Principe,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Saudi Arabia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Senegal,2020,13.17,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Seychelles,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Sierra Leone,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Singapore,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Slovakia,2020,37.5,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Slovenia,2020,13.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Solomon Islands,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Somalia,2020,8.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,South Africa,2020,6.6,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,South Sudan,2020,50,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Spain,2020,0.3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Sri Lanka,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Sudan,2020,99.3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Suriname,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Sweden,2020,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Switzerland,2020,13.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Syrian Arab Republic,2020,17.34,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Tajikistan,2020,13.31,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Thailand,2020,214.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Timor-Leste,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Togo,2020,3.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Tokelau,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Tonga,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Trinidad and Tobago,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Tunisia,2020,0.32,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Turkmenistan,2020,45.36,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Tuvalu,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Türkiye,2020,4.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Uganda,2020,21.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Ukraine,2020,120.18,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,United Arab Emirates,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,United Kingdom of Great Britain and Northern Ireland,2020,2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,United Republic of Tanzania,2020,12.27,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,United States of America,2020,251,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Uruguay,2020,80,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Uzbekistan,2020,65.65,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Vanuatu,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Venezuela (Bolivarian Republic of),2020,520,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Viet Nam,2020,524.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Yemen,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Zambia,2020,24.6,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: accounted inflow,Zimbabwe,2020,7.74,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Afghanistan,2020,10,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Albania,2020,3.3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Algeria,2020,0.39,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Angola,2020,0.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Antigua and Barbuda,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Argentina,2020,516.3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Armenia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Australia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Austria,2020,22.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Azerbaijan,2020,19.76,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Bahamas,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Bahrain,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Bangladesh,2020,1122,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Barbados,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Belarus,2020,23.9,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Belgium,2020,6.3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Belize,2020,6.042,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Benin,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Bhutan,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Bolivia (Plurinational State of),2020,259,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Bosnia and Herzegovina,2020,2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Botswana,2020,9.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Brazil,2020,2986,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Brunei Darussalam,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Bulgaria,2020,0.3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Burkina Faso,2020,1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Burundi,2020,0.126,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Cabo Verde,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Cambodia,2020,355.5,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Cameroon,2020,4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Canada,2020,52,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Central African Republic,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Chad,2020,30.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Chile,2020,38.06,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),China,2020,17.17,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Colombia,2020,215,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Comoros,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Congo,2020,52,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Cook Islands,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Costa Rica,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Croatia,2020,33.47,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Cuba,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Cyprus,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Czechia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Côte d'Ivoire,2020,4.3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Democratic People's Republic of Korea,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Democratic Republic of the Congo,2020,383,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Denmark,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Djibouti,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Dominica,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Dominican Republic,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ecuador,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Egypt,2020,84,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),El Salvador,2020,10.64,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Equatorial Guinea,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eritrea,2020,0.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Estonia,2020,0.096,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eswatini,2020,1.87,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ethiopia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Faroe Islands,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Fiji,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Finland,2020,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),France,2020,11,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gabon,2020,2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gambia,2020,5,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Georgia,2020,8.35,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Germany,2020,47,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ghana,2020,25.9,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Greece,2020,7.6,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Grenada,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guatemala,2020,18.71,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea-Bissau,2020,15.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guyana,2020,30,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Haiti,2020,1.015,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Honduras,2020,1.504,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Hungary,2020,98,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iceland,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),India,2020,635.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Indonesia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iran (Islamic Republic of),2020,7.77,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iraq,2020,61.33,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ireland,2020,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Israel,2020,0.305,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Italy,2020,8.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jamaica,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Japan,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jordan,2020,0.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kazakhstan,2020,72.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kenya,2020,10,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kiribati,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kuwait,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kyrgyzstan,2020,0.558,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lao People's Democratic Republic,2020,143.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Latvia,2020,18,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lebanon,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lesotho,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Liberia,2020,32,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Libya,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lithuania,2020,9.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Luxembourg,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Madagascar,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malawi,2020,1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malaysia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Maldives,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mali,2020,60,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malta,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Marshall Islands,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mauritania,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mauritius,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mexico,2020,53.31,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Micronesia (Federated States of),2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mongolia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Morocco,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mozambique,2020,116.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Myanmar,2020,128.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Namibia,2020,11,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Nauru,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Nepal,2020,12,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Netherlands (Kingdom of the),2020,80,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),New Zealand,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Nicaragua,2020,8.31,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Niger,2020,29.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Nigeria,2020,65.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Niue,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),North Macedonia,2020,1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Norway,2020,11,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Oman,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Pakistan,2020,265.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Palau,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Palestine,2020,0.015,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Panama,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Papua New Guinea,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Paraguay,2020,73.27,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Peru,2020,128.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Philippines,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Poland,2020,6.9,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Portugal,2020,33.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Puerto Rico,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Qatar,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Republic of Korea,2020,4.85,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Republic of Moldova,2020,9.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Romania,2020,168.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Russian Federation,2020,204.6,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Rwanda,2020,3.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Saint Kitts and Nevis,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Saint Lucia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Saint Vincent and the Grenadines,2020,0,10^9 m3/year,I,FALSE
